id,birth_year,death_year,name
1,1743,1826,"Jefferson, Thomas"
2,,,United States
3,1917,1963,"Kennedy, John F. (John Fitzgerald)"
4,1809,1865,"Lincoln, Abraham"
5,1736,1799,"Henry, Patrick"
6,1832,1898,"Carroll, Lewis"
7,,,United States. Central Intelligence Agency
8,1819,1891,"Melville, Herman"
9,1860,1937,"Barrie, J. M. (James Matthew)"
10,,,Church of Jesus Christ of Latter-day Saints
11,1805,1844,"Smith, Joseph, Jr."
12,1745,1829,"Jay, John"
13,1751,1836,"Madison, James"
14,1757,1804,"Hamilton, Alexander"
15,1807,1882,"Longfellow, Henry Wadsworth"
16,1608,1674,"Milton, John"
17,,,Aesop
18,1779,1869,"Roget, Peter Mark"
19,1818,1895,"Douglass, Frederick"
20,1873,1947,"Cather, Willa"
21,1840,1928,"Hardy, Thomas"
22,,,United States. Bureau of the Census
23,-496,-406,Sophocles
24,1860,1935,"Gilman, Charlotte Perkins"
25,1804,1864,"Hawthorne, Nathaniel"
26,1970,2011,"Kehoe, Brendan P."
27,1866,1946,"Wells, H. G. (Herbert George)"
28,,,"Krol, Ed"
29,,,"Kochmer, Jonathan"
30,1783,1859,"Irving, Washington"
31,1850,1894,"Stevenson, Robert Louis"
32,1874,1942,"Montgomery, L. M. (Lucy Maud)"
33,1812,1870,"Dickens, Charles"
34,,,"Polly, Jean Armour"
35,,,"Hemphill, Scott"
36,,,"Kerr, Stan"
37,,,Library of Congress
38,1856,1919,"Baum, L. Frank (Lyman Frank)"
39,,,Unknown
40,1596,1650,"Descartes, René"
41,1865,1947,"Orczy, Emmuska Orczy, Baroness"
42,1820,1895,"Engels, Friedrich"
43,1818,1883,"Marx, Karl"
44,1875,1950,"Burroughs, Edgar Rice"
45,,,"Joly, Norman F."
46,1932,,"Coombs, Norman"
47,,,"Slowinski, David"
48,1835,1910,"Twain, Mark"
49,1817,1862,"Thoreau, Henry David"
50,1871,1900,"Crane, Stephen"
51,,,"Goodwin, John E."
52,,,"Schwartau, Winn"
53,,,"De Presno, Odd"
54,1771,1832,"Scott, Walter"
55,1828,1905,"Verne, Jules"
56,1797,1851,"Shelley, Mary Wollstonecraft"
57,1947,2011,"Hart, Michael"
58,,,Canada
59,1863,1933,"Hope, Anthony"
60,1838,1926,"Abbott, Edwin Abbott"
61,1564,1616,"Shakespeare, William"
62,1954,,"Sterling, Bruce"
63,1882,1945,"Roosevelt, Franklin D. (Franklin Delano)"
64,1775,1817,"Austen, Jane"
65,1859,1930,"Doyle, Arthur Conan"
66,1892,1950,"Millay, Edna St. Vincent"
67,1863,1924,"Stratton-Porter, Gene"
68,1958,,"McGowan, Richard"
69,1849,1924,"Burnett, Frances Hodgson"
70,1820,1914,"Tenniel, John"
71,1770,1827,"Beethoven, Ludwig van"
72,,,Electronic Frontier Foundation
73,,,Anonymous
74,,,"Nemiroff, Robert J."
75,,,"Bonnell, Jerry T."
76,1844,1912,"Lang, Andrew"
77,1874,1936,"Chesterton, G. K. (Gilbert Keith)"
78,1628,1688,"Bunyan, John"
79,,,"Sunzi, active 6th century B.C."
80,1856,1898,"Frederic, Harold"
81,1759,1797,"Wollstonecraft, Mary"
82,1802,1885,"Hugo, Victor"
83,1860,1937,"Doumic, René"
84,1878,1968,"Sinclair, Upton"
85,1882,1941,"Woolf, Virginia"
86,1819,1880,"Eliot, George"
87,1737,1809,"Paine, Thomas"
88,1706,1790,"Franklin, Benjamin"
89,-428,-348,Plato
90,1772,1834,"Coleridge, Samuel Taylor"
91,,,"Sprague, Ruth M."
92,1837,1920,"Howells, William Dean"
93,1824,1889,"Collins, Wilkie"
94,1876,1916,"Webster, Jean"
95,1850,1904,"Chopin, Kate"
96,,,"Laxer, Mark E."
97,1832,1888,"Alcott, Louisa May"
98,1870,1902,"Norris, Frank"
