id,book_id,author_id
51975,13543,3118
51976,13544,112
44632,5953,186
44633,5954,1618
44634,5955,1569
44635,5956,172
44636,5957,1619
44637,5958,233
44638,5959,54
44639,5960,1620
44640,5961,84
44641,5962,189
44642,5963,1335
44643,5964,84
44644,5965,1367
44645,5966,122
44646,5967,122
44647,5968,122
44648,5969,122
44649,5970,1264
44650,5971,1335
44651,5972,1621
44652,5973,122
44653,5974,122
44654,5975,122
44655,5976,122
44656,5977,159
44657,5978,299
44658,5979,336
44659,5980,719
44660,5981,1571
44661,5982,534
44662,5984,73
44663,5985,803
44664,5986,992
44665,5987,1131
44666,5988,102
44667,5989,717
44668,5990,1068
44669,5991,538
44670,5992,1622
44671,5993,159
44672,5994,1623
44673,5995,1116
44674,5996,1624
44675,5997,1625
44676,5998,54
44677,5999,54
44678,6000,1626
44679,6001,1627
44680,6002,1628
44681,6003,1629
44682,6004,422
44683,6005,1179
44684,6006,827
44685,6007,827
44686,6008,1621
44687,6009,330
44688,6010,1252
44689,6011,1621
44690,6012,396
44691,6013,1335
44692,6014,1335
44693,6015,172
44694,6016,183
44695,6017,1192
44696,6018,592
44697,6019,1630
44698,6020,1582
44699,6021,1181
44700,6023,992
44701,6024,735
44702,6025,984
44703,6026,859
44704,6027,69
44705,6028,758
44706,6029,1179
44707,6030,1631
44708,6031,343
44709,6032,1632
44710,6033,233
44711,6034,1515
44712,6035,1633
44713,6036,793
44714,6037,610
44715,6038,1634
44716,6042,1605
44717,6043,1635
44718,6044,1335
44719,6045,1335
44720,6046,78
44721,6047,78
44722,6048,78
44723,6049,78
44724,6050,102
44725,6051,333
44726,6052,1636
44727,6053,1605
44728,6054,1637
44729,6055,335
44730,6056,953
44731,6057,701
44732,6058,1638
44733,6059,396
44734,6060,1252
44735,6061,54
44736,6062,1639
44737,6063,335
44738,6064,1640
44739,6065,1641
44740,6066,1271
44741,6067,1398
44742,6068,1398
44743,6069,1398
44744,6070,1642
44745,6071,1401
44746,6072,1643
