id,book_id,bookshelf_id
17585,2,2
17586,2,1
17587,2,3
17588,3,3
17589,3,2
17590,3,1
17591,5,4
17592,6,5
17593,6,2
17594,6,1
17595,6,3
17596,7,3
17597,9,4
17598,10,4
17599,12,6
17600,13,7
17601,13,6
17602,14,6
17603,15,8
17604,16,7
17605,16,9
17606,17,6
17607,17,10
17608,18,11
17609,18,12
17610,19,2
17611,20,13
17612,20,6
17613,20,14
17614,21,15
17615,21,13
17616,23,16
17617,24,18
17618,24,17
17619,26,8
17620,29,19
17621,32,7
17622,32,20
17623,32,19
17624,33,7
17625,34,19
17626,34,10
17627,36,21
17628,36,10
17629,37,21
17630,37,10
17631,42,6
17632,42,19
17633,43,24
17634,43,22
17635,43,23
17636,43,10
17637,44,22
17638,44,23
17639,44,10
17640,45,25
17641,46,6
17642,47,26
17643,47,6
17644,48,6
17645,49,8
17646,51,27
17647,52,6
17648,53,27
17649,55,28
17650,55,6
17651,56,28
17652,56,6
17653,60,29
17654,60,19
17655,61,7
17656,61,9
17657,61,10
17658,62,15
17659,62,29
17660,62,2
17661,63,21
17662,63,7
17663,64,30
17664,65,21
17665,69,21
17666,70,27
17667,73,21
17668,74,7
17669,74,31
17670,74,4
17671,74,30
17672,75,15
17673,77,15
17674,77,7
17675,78,7
17676,79,9
17677,79,10
17678,83,7
17679,83,30
17680,84,21
17681,84,10
17682,85,24
17683,85,23
17684,85,32
17685,85,10
17686,86,9
17687,86,10
17688,87,33
17689,87,23
17690,88,8
17691,91,9
17692,91,34
17693,91,10
17694,93,9
17695,93,10
17696,96,7
17697,96,31
17698,96,9
17699,96,10
17700,97,21
17701,98,21
17702,98,27
17703,99,30
17704,100,18
17705,100,17
17706,101,20
17707,104,7
17708,104,9
17709,104,10
17710,107,9
17711,107,10
17712,109,35
17713,111,15
17714,114,6
17715,121,7
17716,121,30
17717,121,6
17718,122,24
17719,124,21
17720,125,12
17721,127,21
17722,128,27
17723,130,27
17724,131,12
17725,132,12
17726,132,19
17727,134,31
17728,136,15
17729,136,30
17730,138,36
17731,140,21
17732,141,15
17733,141,31
17734,141,34
17735,146,7
17736,146,30
17737,147,36
17738,147,6
17739,149,19
17740,150,21
17741,154,15
17742,155,34
17743,156,35
17744,156,37
17745,158,36
17746,160,21
17747,160,7
17748,160,10
17749,161,15
17750,164,6
17751,165,21
17752,168,38
17753,168,39
17754,169,38
17755,169,39
17756,170,28
17757,173,40
17758,174,41
17759,175,24
17760,175,10
17761,176,24
17762,176,25
17763,176,10
17764,181,8
17765,201,16
17766,202,21
17767,202,27
17768,203,18
17769,203,17
17770,204,15
17771,204,18
