id,download_count,gutenberg_id,media_type,title
4,50,3,Text,John F. Kennedy's Inaugural Address
6,284,5,Text,The United States Constitution
7,72,6,Text,Give Me Liberty or Give Me Death
8,25,7,Text,The Mayflower Compact
9,32,8,Text,Abraham Lincoln's Second Inaugural Address
10,40,9,Text,Abraham Lincoln's First Inaugural Address
11,3493,10,Text,The King James Version of the Bible
12,17114,11,Text,Alice's Adventures in Wonderland
13,2985,12,Text,Through the Looking-Glass
14,289,13,Text,The Hunting of the Snark: An Agony in Eight Fits
15,126,14,Text,The 1990 CIA World Factbook
16,799,15,Text,Moby Dick
17,5961,16,Text,Peter Pan
18,182,17,Text,The Book of Mormon: An Account Written by the Hand of Mormon Upon Plates Taken from the Plates of Nephi
19,361,18,Text,The Federalist Papers
20,275,19,Text,The Song of Hiawatha
21,2446,20,Text,Paradise Lost
22,581,21,Text,Aesop's Fables: Translated by George Fyler Townsend
23,205,22,Text,Roget's Thesaurus
24,4858,23,Text,"Narrative of the Life of Frederick Douglass, an American Slave"
25,333,24,Text,O Pioneers!
26,48,25,Text,The 1991 CIA World Factbook
27,861,26,Text,Paradise Lost
28,506,27,Text,Far from the Madding Crowd
29,390,28,Text,Aesop's Fables
30,20,29,Text,The 1990 United States Census
31,366,30,Text,"The Bible, King James Version, Complete"
32,1110,31,Text,Plays of Sophocles: Oedipus the King; Oedipus at Colonus; Antigone
33,726,32,Text,Herland
34,2317,33,Text,The Scarlet Letter
35,57,34,Text,Zen and the Art of the Internet
36,4332,35,Text,The Time Machine
37,3208,36,Text,The War of the Worlds
38,8,37,Text,The 1990 United States Census [2nd]
39,55,38,Text,"The Jargon File, Version 2.9.10, 01 Jul 1992"
40,86,39,Text,Hitchhiker's Guide to the Internet
41,21,40,Text,NorthWestNet User Services Internet Resource Guide (NUSIRG)
42,2431,41,Text,The Legend of Sleepy Hollow
43,4636,42,Text,The Strange Case of Dr. Jekyll and Mr. Hyde
44,4194,43,Text,The Strange Case of Dr. Jekyll and Mr. Hyde
45,142,44,Text,The Song of the Lark
46,8640,45,Text,Anne of Green Gables
47,6107,46,Text,A Christmas Carol in Prose; Being a Ghost Story of Christmas
48,2446,47,Text,Anne of Avonlea
49,34,48,Text,The 1992 CIA World Factbook
50,42,49,Text,Surfing the Internet: An Introduction: Version 2.0.2
51,141,50,Dataset,Pi
52,2658,51,Text,Anne of the Island
53,19,52,Dataset,The Square Root of 2
54,36,53,Text,"Workshop on Electronic Texts: Proceedings, 9-10 June 1992"
55,528,54,Text,The Marvelous Land of Oz
56,3351,55,Text,The Wonderful Wizard of Oz
57,5,56,Text,NREN for All: Insurmountable Opportunity
58,166,57,Text,Aladdin and the Magic Lamp
59,240,58,Text,Paradise Regained
61,821,60,Text,The Scarlet Pimpernel
62,2391,61,Text,The Communist Manifesto
63,1687,62,Text,A Princess of Mars
64,30,63,Text,"The Number ""e"""
65,524,64,Text,The Gods of Mars
66,55,65,Dataset,"The First 100,000 Prime Numbers"
67,19,66,Text,The Dawn of Amateur Radio in the U.K. and Greece: A Personal View
68,40,67,Text,The Black Experience in America
69,461,68,Text,Warlord of Mars
70,38,69,Text,The 32nd Mersenne Prime: Predicted by Mersenne
71,740,70,Text,What Is Man? and Other Essays
72,901,71,Text,On the Duty of Civil Disobedience
73,309,72,Text,"Thuvia, Maid of Mars"
74,1220,73,Text,The Red Badge of Courage: An Episode of the American Civil War
75,17681,74,Text,The Adventures of Tom Sawyer
76,94,75,Text,E-mail 101
77,11792,76,Text,Adventures of Huckleberry Finn
78,641,77,Text,The House of the Seven Gables
79,1132,78,Text,Tarzan of the Apes
80,22,79,Text,Terminal Compromise
81,15,80,Text,The Online World
82,404,81,Text,The Return of Tarzan
83,1493,82,Text,Ivanhoe: A Romance
84,415,83,Text,"From the Earth to the Moon; and, Round the Moon"
85,11129,84,Text,"Frankenstein; Or, The Modern Prometheus"
86,253,85,Text,The Beasts of Tarzan
87,1890,86,Text,A Connecticut Yankee in King Arthur's Court
88,49,87,Text,The 1993 CIA World Factbook
89,11,88,Text,Price/Cost Indexes from 1875 to 1989; Estimated to 2010
91,239,90,Text,The Son of Tarzan
92,107,91,Text,Tom Sawyer Abroad
93,188,92,Text,Tarzan and the Jewels of Opar
94,122,93,Text,"Tom Sawyer, Detective"
95,55,94,Text,Alexander's Bridge
96,454,95,Text,The Prisoner of Zenda
97,162,96,Text,The Monster Men
98,446,97,Text,Flatland: A Romance of Many Dimensions
99,15050,98,Text,A Tale of Two Cities
209,714,208,Text,Daisy Miller: A Study
3,161,2,Text,The United States Bill of Rights: The Ten Original Amendments to the Constitution of the United States
103,961,102,Text,The Tragedy of Pudd'nhead Wilson
104,2685,103,Text,Around the World in Eighty Days
105,17,104,Text,"Inaugural Address of Franklin Delano Roosevelt: Given in Washington, D.C. March 4th, 1933"
106,2871,105,Text,Persuasion
107,277,106,Text,Jungle Tales of Tarzan
108,378,107,Text,Far from the Madding Crowd
109,2098,108,Text,The Return of Sherlock Holmes
110,50,109,Text,"Renascence, and Other Poems"
111,1699,110,Text,Tess of the d'Urbervilles: A Pure Woman
112,135,111,Text,Freckles
113,14,112,Text,Violists
114,1923,113,Text,The Secret Garden
115,322,114,StillImage,The Tenniel Illustrations for Carroll's Alice in Wonderland
116,9,115,Text,United States Census Figures Back to 1630
117,28,116,MovingImage,Motion Pictures of the Apollo 11 Lunar Landing
118,25,117,Text,Symphony No. 5 in C minor Opus 67
119,649,118,Text,Big Dummy's Guide to the Internet
120,682,119,Text,A Tramp Abroad
121,5837,120,Text,Treasure Island
122,2443,121,Text,Northanger Abbey
123,957,122,Text,The Return of the Native
124,255,123,Text,At the Earth's Core
125,187,124,Text,Deuterocanonical Books of the Bible: Apocrypha
126,225,125,Text,A Girl of the Limberlost
127,267,126,Text,The Poison Belt
128,112,127,Dataset,"The Number ""e"""
129,461,128,Text,The Arabian Nights Entertainments
130,99,129,Dataset,The Square Root of 2
131,833,130,Text,Orthodoxy
133,1931,132,Text,The Art of War
134,70,133,Text,The Damnation of Theron Ware
135,295,134,Text,"Maria; Or, The Wrongs of Woman"
136,6444,135,Text,Les Misérables
137,86,136,Text,A Child's Garden of Verses
138,73,137,Text,"Sara Crewe; Or, What Happened at Miss Minchin's Boarding School"
139,17,138,Text,George Sand: Some Aspects of Her Life and Writings
140,1423,139,Text,The Lost World
141,2385,140,Text,The Jungle
142,3052,141,Text,Mansfield Park
143,256,142,Text,"The $30,000 Bequest, and Other Stories"
144,688,143,Text,The Mayor of Casterbridge
145,478,144,Text,The Voyage Out
146,2311,145,Text,Middlemarch
147,1036,146,Text,A Little Princess: Being the whole story of Sara Crewe now told for the first time
148,3311,147,Text,Common Sense
149,851,148,Text,The Autobiography of Benjamin Franklin
150,175,149,Text,The Lost Continent
151,292,150,Text,The Republic
152,666,151,Text,The Rime of the Ancient Mariner
153,13,152,Text,Wild Justice
154,843,153,Text,Jude the Obscure
155,214,154,Text,The Rise of Silas Lapham
156,1626,155,Text,The Moonstone
157,26,156,Text,"Symphony No. 5 in C minor, Opus 67"
158,653,157,Text,Daddy-Long-Legs
159,8357,158,Text,Emma
160,1495,159,Text,The Island of Doctor Moreau
161,3561,160,Text,"The Awakening, and Selected Short Stories"
162,5608,161,Text,Sense and Sensibility
163,26,162,Text,Take Me for a Ride: Coming of Age in a Destructive Cult
164,158,163,Text,Flower Fables
165,1667,164,Text,Twenty Thousand Leagues under the Sea
166,244,165,Text,McTeague: A Story of San Francisco
167,197,166,Text,Summer
168,64,167,Text,American Hand Book of the Daguerreotype
169,143,168,Text,The History and Practice of the Art of Photography
170,225,169,Text,The Well at the World's End: A Tale
171,157,170,Text,The Haunted Hotel: A Mystery of Modern Venice
172,211,171,Text,Charlotte Temple
173,140,172,Text,The Haunted Bookshop
174,240,173,Text,The Insidious Dr. Fu Manchu
175,9652,174,Text,The Picture of Dorian Gray
176,1017,175,Text,The Phantom of the Opera
177,47,176,Text,Roderick Hudson
178,172,177,Text,The American
179,55,178,Text,Confidence
180,70,179,Text,The Europeans
181,45,180,Text,The 1994 CIA World Factbook
183,0,182,Text,
184,0,183,Text,
185,0,184,Text,
186,0,185,Text,
187,0,186,Text,
188,0,187,Text,
189,0,188,Text,
190,0,189,Text,
191,0,190,Text,
192,0,191,Text,
193,0,192,Text,
194,0,193,Text,
195,0,194,Text,
196,0,195,Text,
197,0,196,Text,
198,0,197,Text,
199,0,198,Text,
200,0,199,Text,
202,1007,201,Text,Flatland: A Romance of Many Dimensions (Illustrated)
203,399,202,Text,My Bondage and My Freedom
204,2733,203,Text,Uncle Tom's Cabin
205,1287,204,Text,The Innocence of Father Brown
206,3117,205,Text,"Walden, and On The Duty Of Civil Disobedience"
207,54,206,Text,"The Martin Luther King, Jr. Day, 1995, Memorial Issue"
208,150,207,Text,The Spell of the Yukon and Other Verses
101,3699,100,Text,The Complete Works of William Shakespeare
213,67,212,Text,A List of Factorial Math Constants
214,163,213,Text,The Man from Snowy River
215,34,214,Text,"In the Days When the World Was Wide, and Other Verses"
216,2384,215,Text,The Call of the Wild
217,658,216,Text,"The Tao Teh King, or the Tao and its Characteristics"
218,584,217,Text,Sons and Lovers
219,328,218,Text,C. Iuli Caesaris De Bello Gallico
220,6213,219,Text,Heart of Darkness
221,414,220,Text,The Secret Sharer
222,435,221,Text,The Return of Sherlock Holmes
223,608,222,Text,The Moon and Sixpence
224,576,223,Text,The Wisdom of Father Brown
225,195,224,Text,A Pair of Blue Eyes
