id,book_id,subject_id
115988,9925,565
115989,9926,557
125413,14654,565
125414,14655,754
125415,14655,10182
125416,14656,61
125417,14657,10183
125418,14658,684
125419,14658,10184
125420,14658,10185
125421,14658,10186
125422,14658,10187
125423,14658,10188
125424,14659,1017
125425,14660,940
125426,14660,10189
125427,14660,10190
125428,14661,10191
125429,14661,5165
125430,14661,12
125431,14661,6151
125432,14662,454
125433,14663,8413
125434,14663,8414
125435,14664,10192
125436,14664,10193
125437,14665,2098
125438,14665,7841
125439,14666,10194
125440,14666,10195
125441,14667,1669
125442,14668,2303
125443,14669,557
125444,14670,10196
125445,14671,2382
125446,14671,10197
125447,14671,61
125448,14672,10198
125449,14672,10199
125450,14673,10200
125451,14673,582
125452,14674,2330
125453,14674,2233
125454,14675,8921
125455,14675,9405
125456,14675,912
125457,14676,7510
125458,14677,129
125459,14678,95
125460,14678,10201
125461,14679,939
125462,14679,940
125463,14679,7148
125464,14680,9213
125465,14680,9630
125466,14681,3008
125467,14682,1421
125468,14682,68
125469,14683,392
125470,14684,4727
125471,14684,375
125472,14684,4728
125473,14685,9009
125474,14685,9010
125475,14685,9011
125476,14685,9012
125477,14686,9270
125478,14687,557
125479,14688,10202
125480,14688,10203
125481,14688,4023
125482,14688,10204
125483,14689,7195
125484,14689,7196
125485,14690,6985
125486,14691,9213
125487,14691,1674
125488,14692,9612
125489,14692,3695
125490,14693,10205
125491,14693,175
125492,14693,505
125493,14694,6985
125494,14695,6985
125495,14696,506
125496,14697,10206
125497,14698,3428
125498,14699,10207
125499,14699,10208
125500,14700,3785
125501,14700,68
125502,14701,3612
125503,14702,2652
125504,14702,10209
125505,14703,61
125506,14703,798
125507,14704,557
125508,14705,557
125509,14706,1721
125510,14706,1350
125511,14707,6985
125512,14708,557
125513,14708,68
125514,14709,9213
125515,14709,1674
125516,14710,10210
125517,14710,1280
125518,14710,653
125519,14710,5609
125520,14711,5448
125521,14712,557
125522,14713,8118
125523,14714,739
125524,14715,6349
125525,14716,7437
125526,14717,1352
125527,14717,2555
125528,14718,557
125529,14719,8220
125530,14720,10211
125531,14720,4424
125532,14721,3280
125533,14721,9969
125534,14721,12
125535,14722,9238
125536,14723,129
125537,14724,392
125538,14725,10212
125539,14725,10213
125540,14726,9248
125541,14726,10214
125542,14727,557
125543,14728,8427
125544,14728,4143
125545,14729,10215
125546,14729,10216
125547,14729,10217
125548,14730,5537
125549,14731,480
125550,14731,10218
125551,14732,1008
125552,14732,10219
125553,14733,7782
125554,14734,1599
125555,14735,10220
125556,14736,7782
125557,14737,1287
125558,14738,1287
125559,14739,115
125560,14739,1434
125561,14740,753
125719,14816,309
125720,14817,614
125721,14818,384
125722,14818,1074
125723,14818,351
125724,14819,7782
125725,14820,557
125726,14821,10264
125727,14822,10265
125728,14822,8875
125729,14823,2515
125730,14824,6349
125731,14825,10266
125732,14825,10267
125733,14826,2725
125734,14826,6205
125735,14827,5125
125736,14828,2186
125737,14828,10268
125738,14828,10269
125739,14829,10270
125740,14829,10271
125741,14830,6345
125742,14830,2558
125743,14831,5393
125744,14831,150
125745,14832,10272
125746,14833,240
125747,14833,108
125748,14833,723
125749,14834,3167
125750,14835,129
125751,14836,10273
125752,14836,3505
115990,9927,26
115991,9927,557
115992,9928,356
115993,9928,614
115994,9929,1340
115995,9930,7415
115996,9931,259
115997,9931,7416
115998,9932,2047
115999,9932,810
116000,9932,2048
116001,9932,2049
116002,9932,1798
116003,9932,2050
116004,9932,66
116005,9932,2051
116006,9933,7417
116007,9934,7418
116008,9935,1794
116009,9936,1794
116010,9937,1794
116011,9938,1794
116012,9939,1794
116013,9940,1268
116014,9940,454
116015,9940,7419
116016,9940,331
116017,9940,522
116018,9941,7420
116019,9941,7421
116020,9941,7422
116021,9941,7423
116022,9941,7424
116023,9941,7425
116024,9941,7426
116025,9941,7427
116026,9941,7428
116027,9941,7429
116028,9941,7430
116029,9942,7431
116030,9942,7432
116031,9943,4483
116032,9943,4580
116033,9944,4630
116034,9945,2124
116035,9946,6915
116036,9947,2082
116037,9948,1084
116038,9948,5145
116039,9949,7433
116040,9949,7434
116041,9950,4123
116042,9950,556
116043,9950,1296
116044,9951,2135
116045,9951,6964
116046,9951,7435
116047,9951,4592
116048,9952,175
116049,9953,7296
116050,9954,7436
116051,9955,7127
116052,9955,301
116053,9955,82
116054,9956,941
116055,9957,7437
116056,9957,7438
116057,9958,4292
116058,9958,3286
116059,9959,3476
116060,9960,7296
116061,9961,7296
116062,9962,7296
116063,9963,4274
116064,9963,5654
116065,9963,58
116066,9963,1415
116067,9963,1732
116068,9964,218
116069,9964,458
116070,9965,7439
116071,9966,7440
116072,9966,1029
116073,9967,557
116074,9968,26
116075,9968,5689
116076,9968,4274
116077,9968,150
116078,9968,151
116079,9968,7441
116080,9968,7442
116081,9968,7443
116082,9968,4281
116083,9968,1203
116084,9968,160
116085,9968,7166
116086,9969,7444
116087,9969,7445
116088,9970,2016
116089,9970,7446
116090,9971,3292
116091,9972,3292
116092,9973,7447
116093,9974,436
116094,9975,7448
116095,9975,4600
116096,9976,7449
116097,9976,78
116098,9977,2711
116099,9978,1083
116100,9979,2683
116101,9979,7450
116102,9979,7451
116103,9980,7452
116104,9980,1197
116105,9980,7453
116106,9981,415
116107,9981,376
116108,9982,2946
116109,9983,436
116110,9983,415
116111,9983,1088
116112,9984,7310
116113,9985,7454
116114,9986,7455
116115,9986,1305
116116,9987,7456
116117,9988,944
116118,9988,120
116119,9989,392
116120,9990,26
116121,9990,150
116122,9990,1617
116123,9990,2155
116124,9990,5297
116125,9990,7457
116126,9990,952
116127,9990,4875
116128,9990,5597
116129,9991,7458
116130,9992,7459
116131,9992,7460
116132,9993,557
116133,9994,5127
116134,9994,7461
116135,9995,7462
116136,9996,5026
116137,9997,3617
116138,9998,392
116139,9999,2436
116140,9999,56
116141,9999,7463
116142,9999,6308
116143,10000,7464
116144,10000,7465
116145,10001,7466
116146,10002,95
116147,10003,7467
116148,10003,3232
116149,10004,4010
116150,10005,95
116151,10005,236
116152,10006,557
116153,10007,723
116154,10007,120
116155,10008,95
116156,10009,7468
116157,10009,7469
116158,10010,7470
116159,10011,7085
116160,10012,761
116161,10012,7471
116162,10012,7472
116163,10012,7473
116164,10012,765
116165,10012,7474
116166,10012,5743
116167,10012,7475
116168,10013,7296
116169,10014,7296
116170,10015,7296
116171,10016,7296
116172,10017,7296
116173,10018,7296
116174,10019,7296
116175,10020,7476
116176,10020,7477
116177,10021,109
116178,10021,301
116179,10022,7106
116180,10022,7478
116181,10022,7108
116182,10023,275
116183,10024,2344
116184,10025,384
116185,10025,365
116186,10025,944
116187,10025,649
116188,10025,923
116189,10026,3739
116190,10027,1305
116191,10028,7479
116192,10029,436
116193,10030,2060
116194,10030,1693
116195,10030,2062
116196,10030,2063
116197,10031,1755
116198,10032,7296
116199,10033,7296
116200,10034,7296
116201,10035,7296
116202,10036,7296
116203,10037,1268
116204,10037,126
116205,10038,4336
116206,10039,2888
116207,10040,7480
116208,10040,7481
116209,10041,7308
116210,10042,1676
116211,10043,7482
116212,10043,7483
116213,10044,7484
116214,10044,7485
116215,10044,7486
116216,10045,5252
116217,10046,7487
116218,10046,61
116219,10046,7488
116220,10046,7489
116221,10046,3412
116222,10047,7296
116223,10048,1000
116224,10048,948
116225,10049,1194
116226,10049,415
116227,10050,1194
116228,10051,1194
116229,10052,505
116230,10053,723
116231,10054,7490
116232,10055,7491
116233,10055,6210
116234,10056,7492
116235,10056,3629
116236,10056,2800
116237,10057,3095
116238,10057,259
116239,10057,3845
116240,10057,1429
116241,10058,7493
116242,10058,7494
116243,10059,875
116244,10059,3863
116245,10059,2342
116246,10059,450
116247,10059,7495
116248,10059,980
116249,10059,7496
116250,10059,3135
116251,10060,7228
116252,10060,1602
116253,10061,7497
116254,10062,202
116255,10063,5427
116256,10064,7498
116257,10065,42
116258,10065,11
116259,10066,2229
116260,10066,301
116261,10066,775
116262,10066,565
116263,10067,436
116264,10067,557
116265,10068,7499
116266,10068,58
116267,10068,7500
116268,10068,29
116269,10068,417
116270,10068,1174
116271,10068,7501
116272,10068,2837
116273,10069,7502
116274,10070,7503
116275,10071,7504
116276,10072,6722
116277,10072,7505
116278,10073,7506
116279,10074,3739
116280,10075,7507
116281,10076,220
116282,10076,68
116283,10076,7508
116284,10076,821
116285,10077,6915
116286,10078,7509
116287,10079,6915
116288,10080,7510
116289,10081,7511
116290,10081,5448
116291,10082,436
116292,10082,325
116293,10083,436
116294,10084,513
116295,10084,1557
116296,10085,7512
116297,10086,7080
116298,10087,5963
116299,10087,7513
116300,10087,944
116301,10088,2421
116302,10089,7514
116303,10089,7515
116304,10089,7516
116305,10090,7517
116306,10090,7518
116307,10091,7296
116308,10092,7296
116309,10093,7519
116310,10093,982
116311,10093,7520
116312,10093,7521
116313,10094,2024
116314,10094,7522
116315,10094,61
116316,10094,445
116317,10094,3412
116318,10094,7523
116319,10095,7524
116320,10095,7525
116321,10095,248
116322,10095,614
116323,10096,7526
116324,10096,7527
116325,10096,7528
116326,10096,7529
116327,10096,1431
116328,10097,2515
116329,10098,7530
116330,10099,7531
116331,10099,4600
116332,10100,7532
116333,10101,652
116334,10101,20
116335,10101,7533
116336,10101,949
116337,10102,1082
116338,10103,1340
116339,10104,7296
116340,10105,7296
116341,10106,7296
116342,10107,6935
116343,10108,7534
116344,10108,7535
116345,10109,26
116346,10109,796
116347,10109,2791
116348,10109,4083
116349,10110,436
116350,10110,3145
116351,10111,7536
116352,10112,7537
116353,10112,1439
116354,10113,7538
116355,10114,1340
116356,10115,7539
116357,10116,3100
116358,10116,5211
116359,10117,3463
116360,10117,4971
116361,10118,1009
116362,10118,7540
116363,10119,7541
116364,10119,4705
116365,10120,7542
116366,10120,2628
116367,10121,7543
116368,10122,6754
116369,10122,675
116370,10123,999
116371,10123,875
116372,10123,7544
116373,10123,3863
116374,10123,948
116375,10123,4817
116376,10124,1026
116377,10124,7545
116378,10124,875
116379,10124,3863
116380,10124,7546
116381,10124,980
116382,10124,157
116383,10124,5336
116384,10124,565
116385,10124,4817
116386,10125,1140
116387,10125,7243
116388,10126,7547
116389,10126,7548
116390,10126,7549
116391,10127,20
116392,10127,154
116393,10128,1340
116394,10129,1118
116395,10129,4703
116396,10130,2429
116397,10130,174
116398,10131,2429
116399,10132,1672
116400,10133,392
116401,10134,345
116402,10134,350
116403,10135,309
116404,10136,6279
116405,10136,5780
116406,10137,4259
116407,10138,6915
116408,10139,6873
116409,10140,7550
116410,10140,7551
116411,10140,7552
116412,10140,7553
116413,10140,3025
116414,10140,7554
116415,10141,7555
116416,10141,7556
116417,10142,5609
116418,10143,6985
116419,10144,7296
116420,10145,7557
116421,10145,7558
116422,10145,7559
116423,10146,4847
116424,10146,7560
